Enrollment_no,Name,Technology,Welcome_test,Presentation,Mini_projects,Hrskills,Project_presentation,Project_submission,Attendance,Discipline,Grade
1044,Sneha Rana,Data Sci,31,132,88,91,172,201,86,94,A+
1045,Sneha Nair,AI,46,125,87,101,215,296,97,90,A++
1046,Neha Yadav,Data Sci,34,109,96,103,226,211,98,77,A++
1047,Ravi Gupta,Data Sci,42,96,63,148,162,278,97,75,A++
1048,Karan Gupta,Java,41,131,96,133,184,210,100,93,A++
1049,Vikas Gupta,AI,49,149,69,116,178,295,77,89,A++
1050,Sana Roy,IoT,39,118,84,105,219,221,83,84,A++
1051,Karan Deshmukh,AI,40,117,66,110,238,224,93,100,A++
1052,Vikas Chawla,Web Dev,49,102,78,149,244,267,81,68,A++
1053,Divya Yadav,Robotics,38,113,81,139,179,248,83,99,A++
1054,Ravi Deshmukh,Data Sci,39,99,79,91,220,282,88,94,A++
1055,Rohit Sharma,ML,36,104,89,138,202,246,90,74,A++
1056,Nisha Iyer,IoT,50,115,93,112,238,243,71,74,A++
1057,Neha Yadav,Web Dev,49,102,76,98,200,249,100,95,A++
1058,Divya Roy,Robotics,32,122,95,126,167,290,88,61,A++
1059,Aryan Rana,Java,47,132,99,133,227,273,99,70,A++
1060,Divya Deshmukh,AI,33,105,76,113,210,227,80,93,A++
1061,Divya Rana,Java,43,104,63,107,205,226,95,87,A++
1062,Rohit Joshi,Web Dev,48,120,61,124,211,226,78,68,A++
1063,Anjali Mehta,IoT,48,98,76,146,243,207,83,81,A++
1064,Aryan Kapoor,Data Sci,32,140,72,99,192,282,96,86,A++
1065,Divya Singh,ML,49,111,65,145,246,281,86,85,A++
1066,Divya Chawla,Robotics,37,113,91,93,249,246,78,81,A++
1067,Nisha Singh,AI,46,92,96,122,180,277,85,86,A++
1068,Vikas Roy,ML,50,142,87,117,223,257,83,79,A++
1069,Sneha Chawla,Data Sci,47,99,68,139,175,225,71,73,A+
1070,Rahul Deshmukh,Data Sci,46,126,66,143,228,217,84,70,A++
1071,Anjali Mehta,ML,42,147,91,102,230,263,74,99,A++
1072,Ravi Chawla,IoT,32,132,68,105,198,294,91,81,A++
1073,Aditya Yadav,Robotics,33,113,79,135,211,271,76,100,A++
1074,Sana Singh,Robotics,49,94,72,150,191,265,97,94,A++
1075,Neha Nair,Robotics,42,104,87,108,160,295,81,82,A++
1076,Vikas Roy,IoT,33,91,90,146,218,243,99,63,A++
1077,Sneha Yadav,IoT,48,148,79,143,226,222,97,68,A++
1078,Anjali Deshmukh,Web Dev,38,124,65,132,197,220,96,99,A++
1079,Anjali Deshmukh,ML,30,137,71,127,192,208,79,74,A++
1080,Rahul Yadav,IoT,40,140,67,91,240,200,82,75,A++
1081,Priya Deshmukh,AI,39,128,85,132,245,219,88,82,A++
1082,Rohit Mehta,Robotics,35,117,68,111,193,242,89,96,A++
1083,Rohit Singh,Data Sci,39,105,82,122,188,256,71,70,A++
1084,Sana Singh,Web Dev,38,108,78,140,234,263,93,89,A++
1085,Sneha Singh,Robotics,43,144,93,141,210,298,91,88,A++
1086,Karan Patel,Web Dev,50,110,92,121,196,253,83,77,A++
1087,Rohit Yadav,AI,30,90,61,97,208,229,80,83,A+
1088,Meera Gupta,Data Sci,39,122,72,135,224,295,90,76,A++
1089,Divya Patel,Robotics,45,139,83,147,203,234,81,62,A++
1090,Sana Singh,Data Sci,39,139,83,140,238,293,80,65,A++
1091,Aditya Roy,Data Sci,50,137,72,124,188,295,70,80,A++
1092,Rahul Iyer,ML,37,124,70,123,219,254,70,65,A++
1093,Sana Joshi,Web Dev,42,112,96,93,193,267,86,79,A++
1094,Sana Joshi,Java,44,106,91,95,207,233,99,91,A++
1095,Vikas Verma,IoT,33,108,70,142,195,228,75,71,A++
1096,Divya Yadav,Java,44,125,89,147,240,228,85,92,A++
1097,Neha Deshmukh,Web Dev,34,102,64,109,208,232,99,93,A++
1098,Sneha Gupta,IoT,40,95,92,119,191,239,78,67,A++
1099,Meera Joshi,Java,39,122,69,91,185,297,91,70,A++
1100,Ravi Sharma,Java,43,94,60,102,237,249,93,87,A++
1101,Ravi Deshmukh,AI,34,91,73,119,194,227,85,63,A+
1102,Nisha Iyer,AI,39,116,96,90,196,219,72,72,A++
1103,Aryan Verma,ML,48,110,95,92,204,216,82,65,A++
1104,Divya Sharma,AI,34,138,67,98,207,236,70,98,A++
1105,Sneha Mehta,ML,46,135,92,90,210,292,83,94,A++
1106,Ravi Singh,Web Dev,48,134,86,110,178,281,88,60,A++
1107,Divya Gupta,IoT,42,137,96,140,221,217,72,99,A++
1108,Sana Verma,Data Sci,31,104,68,129,203,203,90,97,A++
1109,Neha Joshi,IoT,41,121,93,117,169,229,77,62,A++
1110,Rahul Kapoor,Data Sci,42,142,83,99,236,273,88,84,A++
1111,Sana Deshmukh,AI,49,112,82,93,197,273,100,92,A++
1112,Sneha Kapoor,Java,34,104,64,127,204,267,81,74,A++
1113,Aryan Verma,ML,46,101,85,97,198,279,88,87,A++
1114,Karan Yadav,Robotics,49,109,82,146,202,222,99,100,A++
1115,Rohit Kapoor,Data Sci,30,93,84,134,175,220,70,85,A+
1116,Karan Sharma,ML,43,116,94,134,170,263,71,98,A++
1117,Sneha Kapoor,Java,46,109,95,132,183,282,98,78,A++
1118,Anjali Kapoor,ML,39,107,78,142,200,230,82,64,A++
1119,Anjali Nair,Web Dev,41,115,97,133,193,281,100,66,A++
1120,Nisha Deshmukh,AI,41,141,92,145,191,269,92,77,A++
1121,Meera Patel,Java,39,97,97,97,242,287,100,74,A++
1122,Karan Rana,Robotics,35,135,65,140,235,211,97,94,A++
1123,Sneha Gupta,Data Sci,49,112,68,94,180,211,79,68,A+
1124,Sana Deshmukh,Robotics,31,145,64,100,196,250,89,67,A++
1125,Neha Yadav,AI,50,133,88,148,187,276,76,75,A++
1126,Ravi Patel,Robotics,37,94,85,125,245,293,75,63,A++
1127,Rohit Gupta,Robotics,46,116,88,143,250,247,80,65,A++
1128,Ravi Gupta,Web Dev,42,98,67,131,187,201,90,85,A++
1129,Rohit Mehta,Data Sci,48,139,71,145,178,216,93,84,A++
1130,Meera Sharma,IoT,37,140,74,114,226,249,87,90,A++
1131,Vikas Yadav,AI,44,90,74,93,218,226,84,87,A++
1132,Aryan Joshi,ML,46,145,77,118,233,298,95,91,A++
1133,Ravi Deshmukh,ML,45,142,96,97,238,286,79,85,A++
1134,Sneha Gupta,AI,47,99,68,128,196,239,83,91,A++
1135,Anjali Rana,AI,42,101,64,108,235,287,77,96,A++
1136,Anjali Gupta,AI,38,150,74,130,232,224,90,84,A++
1137,Karan Yadav,AI,45,150,95,100,196,244,79,64,A++
1138,Priya Joshi,IoT,31,135,79,104,160,244,77,77,A++
1139,Priya Singh,Data Sci,48,107,80,97,161,266,83,91,A++
1140,Priya Joshi,Robotics,31,110,91,147,204,211,99,97,A++
1141,Rohit Chawla,ML,41,92,100,91,194,270,74,87,A++
1142,Karan Verma,Java,49,126,99,144,185,234,94,80,A++
1143,Rahul Yadav,Web Dev,45,113,92,108,177,219,80,71,A++
1144,Anjali Joshi,Data Sci,44,117,65,133,245,230,72,96,A++
1145,Divya Singh,Web Dev,34,139,67,115,234,231,90,94,A++
1146,Aryan Yadav,Robotics,49,108,94,110,241,289,75,83,A++
1147,Sneha Roy,Robotics,44,125,78,121,165,291,96,95,A++
1148,Nisha Singh,AI,45,139,78,148,162,286,80,79,A++
1149,Priya Deshmukh,ML,50,134,70,96,170,221,70,92,A++
1150,Meera Kapoor,ML,39,105,93,136,243,211,95,94,A++
1151,Sana Verma,Web Dev,35,92,63,96,215,275,100,70,A++
1152,Sana Patel,Robotics,33,146,60,110,165,210,82,71,A+
1153,Priya Deshmukh,Data Sci,50,136,81,133,185,216,94,74,A++
1154,Aditya Iyer,AI,43,117,75,142,244,254,75,91,A++
1155,Vikas Joshi,Data Sci,31,127,69,139,211,262,83,79,A++
1156,Neha Mehta,AI,33,107,86,119,233,264,95,87,A++
1157,Nisha Iyer,IoT,32,145,93,101,226,232,72,82,A++
1158,Ravi Verma,Java,43,145,63,111,171,265,96,70,A++
1159,Karan Singh,ML,32,144,83,114,196,281,70,74,A++
1160,Ravi Gupta,IoT,39,102,99,105,210,218,99,66,A++
1161,Anjali Singh,Data Sci,41,129,81,130,223,254,78,93,A++
1162,Karan Yadav,AI,31,112,86,110,194,210,96,93,A++
1163,Aditya Chawla,AI,47,146,97,125,178,223,93,99,A++
1164,Rohit Nair,Data Sci,40,113,91,138,213,215,70,92,A++
1165,Aryan Nair,Web Dev,47,91,89,129,247,238,86,64,A++
1166,Nisha Roy,Web Dev,43,125,78,115,243,256,98,94,A++
1167,Sneha Chawla,Web Dev,32,105,61,114,233,276,95,86,A++
1168,Rahul Yadav,AI,41,91,84,111,245,229,94,71,A++
1169,Neha Sharma,AI,47,146,85,133,193,292,90,83,A++
1170,Priya Roy,Robotics,47,104,79,119,206,294,89,93,A++
1171,Nisha Verma,Java,43,113,65,147,160,251,100,80,A++
1172,Meera Patel,Java,50,124,83,97,241,214,81,77,A++
1173,Sana Deshmukh,ML,46,127,100,93,238,232,88,90,A++
1174,Aditya Patel,Java,41,140,98,92,250,244,95,73,A++
1175,Divya Verma,Web Dev,40,150,77,94,184,220,93,69,A++
1176,Meera Iyer,AI,40,137,67,108,179,232,72,82,A++
1177,Divya Gupta,IoT,31,141,82,121,240,282,77,68,A++
1178,Vikas Yadav,Robotics,37,133,74,110,216,239,98,64,A++
1179,Rahul Verma,Web Dev,50,132,91,98,191,262,98,90,A++
1180,Neha Iyer,Data Sci,38,103,81,95,195,249,72,98,A++
1181,Karan Gupta,Java,31,134,92,95,187,275,98,100,A++
1182,Aditya Singh,Robotics,36,134,69,98,227,281,85,90,A++
1183,Priya Gupta,AI,46,136,94,124,201,300,96,76,A++
1184,Karan Deshmukh,IoT,36,109,69,114,165,233,81,60,A+
1185,Rohit Mehta,Data Sci,36,90,98,125,170,263,70,61,A++
1186,Meera Deshmukh,ML,30,100,86,123,233,285,95,69,A++
1187,Ravi Rana,Web Dev,36,144,93,123,200,275,76,92,A++
1188,Aryan Sharma,Java,45,123,69,117,228,233,77,91,A++
1189,Priya Deshmukh,Data Sci,32,125,64,90,170,207,71,66,A+
1190,Rahul Yadav,ML,49,92,96,101,206,229,87,99,A++
1191,Neha Roy,Java,38,141,73,141,185,292,74,95,A++
1192,Rohit Verma,Web Dev,32,144,66,114,185,237,77,90,A++
1193,Karan Roy,IoT,35,121,75,134,187,270,83,62,A++
1194,Sana Gupta,Data Sci,31,97,85,108,223,213,74,94,A++
1195,Sneha Roy,AI,37,147,95,127,200,214,88,81,A++
1196,Priya Chawla,Web Dev,50,136,79,130,244,264,89,94,A++
1197,Ravi Nair,Robotics,33,139,64,143,185,239,99,98,A++
1198,Sana Patel,Java,46,126,98,112,223,289,87,90,A++
1199,Anjali Deshmukh,ML,40,102,85,95,169,264,77,88,A++
1200,Aditya Kapoor,Data Sci,38,131,95,95,177,211,75,66,A+
1201,Nisha Roy,ML,34,118,61,95,218,296,85,81,A++
1202,Aryan Mehta,Java,36,109,92,99,184,205,76,76,A+
1203,Anjali Gupta,Web Dev,42,103,82,122,228,263,70,94,A++
1204,Aryan Sharma,Java,45,149,67,99,228,276,87,60,A++
1205,Meera Chawla,ML,42,95,96,144,237,232,96,87,A++
1206,Ravi Singh,Java,30,128,79,125,162,248,74,72,A++
1207,Anjali Iyer,Web Dev,41,109,91,91,161,221,76,83,A+
1208,Aryan Patel,Web Dev,49,149,67,131,247,230,76,80,A++
1209,Meera Kapoor,Java,35,136,96,140,209,267,92,65,A++
1210,Rahul Joshi,ML,35,121,85,92,217,279,80,80,A++
1211,Ravi Iyer,Java,38,114,97,115,235,297,84,84,A++
1212,Anjali Gupta,ML,40,116,91,122,241,259,91,76,A++
1213,Nisha Joshi,Data Sci,30,107,84,133,209,229,100,67,A++
1214,Anjali Iyer,IoT,46,107,74,104,220,220,89,78,A++
1215,Meera Patel,Robotics,38,90,96,123,189,279,77,98,A++
1216,Rohit Sharma,Java,33,108,95,111,198,249,90,82,A++
1217,Meera Kapoor,Web Dev,40,99,69,108,219,262,77,60,A++
1218,Rahul Verma,ML,44,128,89,113,244,235,83,94,A++
1219,Neha Sharma,Robotics,32,110,77,134,202,243,76,86,A++
1220,Priya Gupta,Java,34,99,94,92,240,267,95,68,A++
1221,Divya Kapoor,Web Dev,37,123,72,136,168,275,94,96,A++
1222,Rahul Sharma,Robotics,44,125,73,104,228,251,90,72,A++
1223,Neha Gupta,ML,33,98,72,119,174,227,94,98,A++
1224,Sneha Verma,Data Sci,38,143,85,107,240,233,79,82,A++
1225,Meera Roy,ML,49,132,87,96,228,264,75,72,A++
1226,Sneha Nair,AI,39,141,96,91,187,279,79,94,A++
1227,Sana Patel,Robotics,49,137,98,106,170,240,81,62,A++
1228,Sneha Singh,Java,48,93,76,92,160,260,79,65,A+
1229,Aditya Singh,Web Dev,50,111,79,109,218,217,81,78,A++
1230,Aryan Gupta,IoT,36,109,66,92,182,295,76,92,A++
1231,Sneha Chawla,AI,35,91,71,119,183,200,77,74,A+
1232,Anjali Sharma,ML,48,101,98,129,220,227,94,73,A++
1233,Rohit Rana,Robotics,31,142,95,92,232,200,75,94,A++
1234,Rahul Iyer,AI,42,120,61,147,215,265,91,63,A++
1235,Karan Sharma,AI,40,121,81,116,169,239,97,75,A++
1236,Vikas Joshi,Web Dev,44,113,73,125,228,294,84,62,A++
1237,Sana Joshi,Robotics,39,92,65,129,182,271,94,97,A++
1238,Meera Singh,ML,43,98,89,106,198,202,71,76,A+
1239,Rahul Joshi,ML,43,93,90,126,212,255,83,62,A++
1240,Neha Kapoor,Robotics,47,131,84,137,214,219,77,65,A++
1241,Rahul Verma,Web Dev,38,138,72,113,244,242,84,85,A++
1242,Sneha Patel,Web Dev,50,140,76,139,184,210,86,87,A++
1243,Rohit Verma,Web Dev,45,90,75,121,228,234,98,83,A++
1244,Karan Roy,ML,34,101,74,107,203,218,77,78,A+
1245,Neha Chawla,Web Dev,30,135,68,133,219,210,89,84,A++
1246,Anjali Sharma,AI,48,107,79,133,182,254,71,97,A++
1247,Neha Sharma,Robotics,49,95,91,149,250,253,89,75,A++
1248,Sana Kapoor,AI,44,113,67,108,211,203,76,91,A++
1249,Divya Rana,Java,40,130,93,125,190,277,96,100,A++
1250,Sneha Patel,Data Sci,40,132,80,93,228,295,80,64,A++
1251,Ravi Joshi,Data Sci,40,125,75,124,228,255,78,68,A++
1252,Rahul Nair,Robotics,45,102,88,149,207,280,87,68,A++
1253,Rahul Joshi,ML,44,92,91,114,168,253,88,66,A++
1254,Vikas Chawla,Data Sci,34,121,61,130,171,237,85,94,A++
1255,Vikas Nair,Java,40,125,91,101,178,288,91,87,A++
1256,Nisha Nair,Data Sci,48,93,97,147,231,208,74,84,A++
1257,Rahul Gupta,IoT,45,111,81,104,213,217,73,97,A++
1258,Rahul Sharma,Robotics,38,98,63,132,224,247,78,89,A++
1259,Divya Deshmukh,IoT,30,90,76,122,221,235,71,78,A++
1260,Sana Joshi,Data Sci,44,136,98,136,227,206,86,66,A++
1261,Rohit Mehta,Java,44,123,96,136,216,232,89,82,A++
1262,Neha Iyer,Web Dev,45,127,95,109,234,276,95,74,A++
1263,Priya Mehta,AI,45,113,65,121,183,281,92,64,A++
1264,Rahul Kapoor,Data Sci,46,133,63,91,175,228,100,96,A++
1265,Ravi Roy,Java,45,112,79,104,171,216,84,66,A+
1266,Sana Gupta,Robotics,48,130,68,93,162,295,81,91,A++
1267,Neha Rana,Web Dev,47,118,84,106,229,246,72,99,A++
1268,Aryan Nair,IoT,47,116,64,113,230,298,93,61,A++
1269,Vikas Iyer,Robotics,35,126,64,91,179,212,76,92,A+
1270,Rahul Deshmukh,Data Sci,47,108,75,128,224,252,97,66,A++
1271,Anjali Deshmukh,IoT,31,91,99,116,242,299,92,69,A++
1272,Ravi Mehta,AI,40,101,94,96,188,248,72,83,A++
1273,Rahul Nair,Robotics,50,92,94,142,209,261,82,67,A++
1274,Divya Gupta,AI,32,137,98,129,177,271,89,79,A++
1275,Neha Deshmukh,AI,37,111,88,94,195,295,86,96,A++
1276,Priya Gupta,Java,36,115,72,128,180,228,92,62,A++
1277,Priya Rana,Java,46,102,88,97,191,289,76,86,A++
1278,Sneha Gupta,IoT,41,119,96,130,250,253,74,74,A++
1279,Divya Rana,Robotics,49,100,93,137,160,234,99,95,A++
1280,Aryan Kapoor,AI,35,104,70,105,230,212,84,65,A++
1281,Sana Yadav,Java,31,115,77,101,182,228,79,99,A++
1282,Divya Gupta,Data Sci,50,132,85,135,180,277,99,94,A++
1283,Ravi Verma,Java,33,132,84,98,195,289,90,93,A++
1284,Priya Chawla,Robotics,46,120,98,146,168,206,77,66,A++
1285,Ravi Patel,ML,48,144,70,142,193,285,93,87,A++
1286,Divya Joshi,Robotics,38,132,62,149,178,267,75,68,A++
1287,Aryan Chawla,Web Dev,48,131,87,112,215,283,87,88,A++
1288,Priya Gupta,ML,47,94,68,128,216,269,91,88,A++
1289,Nisha Nair,Robotics,36,105,83,106,185,202,75,72,A+
1290,Ravi Mehta,Web Dev,34,126,71,147,247,237,95,86,A++
1291,Sneha Roy,IoT,42,142,86,148,186,248,99,81,A++
1292,Divya Chawla,Data Sci,41,118,68,144,164,259,90,96,A++
1293,Sneha Verma,AI,37,103,75,123,218,266,72,87,A++
1294,Karan Iyer,ML,50,95,66,130,223,265,91,72,A++
1295,Ravi Joshi,Robotics,31,111,65,137,242,211,79,67,A++
1296,Meera Iyer,ML,34,139,60,115,176,214,94,64,A+
1297,Neha Gupta,Web Dev,46,117,97,103,184,209,96,91,A++
1298,Divya Roy,Data Sci,33,99,67,120,163,277,84,90,A++
1299,Nisha Rana,Web Dev,37,106,76,90,165,243,77,87,A+
1300,Sana Kapoor,ML,37,106,69,102,215,267,77,100,A++
1301,Priya Rana,Web Dev,35,109,89,104,224,284,71,71,A++
1302,Priya Iyer,Robotics,39,124,87,120,213,206,98,99,A++
1303,Nisha Rana,Data Sci,45,109,100,101,161,273,78,94,A++
1304,Rahul Yadav,ML,50,122,60,103,161,210,79,83,A+
1305,Ravi Roy,IoT,44,107,61,150,175,281,73,90,A++
1306,Aditya Mehta,Web Dev,36,122,87,115,163,272,84,80,A++
1307,Priya Sharma,IoT,42,140,67,133,210,203,86,74,A++
1308,Karan Verma,AI,35,138,90,110,199,250,84,68,A++
1309,Nisha Deshmukh,ML,30,129,65,102,170,229,89,82,A+
1310,Rohit Patel,Web Dev,46,92,86,100,208,282,71,63,A++
1311,Rahul Rana,Web Dev,46,119,88,142,161,235,86,97,A++
1312,Rohit Nair,Data Sci,45,100,96,92,178,230,98,91,A++
1313,Anjali Kapoor,Web Dev,31,140,84,105,206,205,82,83,A++
1314,Vikas Patel,Java,36,110,77,98,181,225,74,60,A+
1315,Divya Verma,Java,42,147,75,94,168,232,79,91,A++
1316,Karan Gupta,AI,46,126,76,117,243,207,96,65,A++
1317,Sneha Mehta,Web Dev,45,108,75,109,170,216,79,88,A+
1318,Ravi Gupta,Robotics,42,142,86,115,165,248,89,79,A++
1319,Aryan Chawla,ML,40,95,91,149,244,295,90,91,A++
1320,Rahul Gupta,Web Dev,32,122,94,150,229,216,100,61,A++
1321,Aryan Iyer,Web Dev,43,98,69,126,209,237,90,95,A++
1322,Aryan Sharma,AI,36,150,94,124,181,254,80,64,A++
1323,Sana Singh,Java,41,134,72,110,181,235,99,99,A++
1324,Rohit Chawla,Robotics,35,149,72,134,162,275,99,94,A++
1325,Divya Rana,Web Dev,45,102,66,101,224,205,79,82,A++
1326,Aryan Yadav,Robotics,39,129,87,150,174,248,91,90,A++
1327,Aryan Mehta,Data Sci,35,133,65,143,182,263,79,61,A++
1328,Rohit Gupta,Java,43,142,76,90,242,257,82,89,A++
1329,Rohit Rana,AI,36,124,75,113,203,231,80,72,A++
1330,Nisha Iyer,Robotics,35,142,82,115,161,238,79,69,A++
1331,Sana Patel,IoT,33,121,89,111,249,294,72,96,A++
1332,Sana Nair,Web Dev,46,137,73,123,194,221,85,94,A++
1333,Nisha Iyer,AI,38,128,87,115,183,292,96,79,A++
1334,Anjali Rana,Data Sci,34,144,95,114,189,203,88,65,A++
1335,Ravi Singh,Java,33,148,87,95,195,234,75,80,A++
1336,Priya Verma,AI,34,135,94,100,227,296,95,64,A++
1337,Rahul Mehta,ML,36,103,99,139,240,283,93,86,A++
1338,Priya Joshi,Robotics,37,145,94,132,241,278,88,71,A++
1339,Neha Mehta,Data Sci,38,127,91,114,214,242,99,67,A++
1340,Aditya Roy,ML,47,132,62,144,166,247,74,81,A++
1341,Rohit Gupta,IoT,30,140,89,100,177,291,72,94,A++
1342,Rohit Chawla,AI,42,132,95,120,226,220,77,75,A++
1343,Anjali Mehta,Web Dev,30,137,83,94,196,218,70,88,A++
1344,Karan Joshi,Data Sci,36,103,88,120,235,276,85,82,A++
1345,Rahul Roy,ML,32,130,83,116,184,278,92,87,A++
1346,Neha Roy,Web Dev,45,118,96,136,171,250,87,74,A++
1347,Meera Kapoor,ML,48,141,60,124,177,239,94,87,A++
1348,Aryan Iyer,Java,38,109,65,99,206,219,72,99,A++
1349,Rohit Yadav,Data Sci,50,111,80,111,225,209,75,75,A++
1350,Priya Yadav,ML,31,126,77,118,219,221,79,87,A++
1351,Ravi Chawla,IoT,40,92,90,93,169,227,91,86,A+
1352,Aditya Iyer,Web Dev,49,115,93,130,248,225,86,83,A++
1353,Nisha Joshi,Web Dev,34,111,91,141,220,215,99,88,A++
1354,Sneha Singh,Web Dev,44,99,99,100,160,209,92,82,A+
1355,Anjali Gupta,Data Sci,43,136,83,137,192,251,98,79,A++
1356,Karan Chawla,Web Dev,46,101,88,95,220,214,76,72,A++
1357,Aditya Deshmukh,Web Dev,33,100,86,110,199,279,88,85,A++
1358,Sana Mehta,Robotics,44,102,76,144,201,283,79,98,A++
1359,Nisha Roy,Robotics,38,116,87,102,186,243,81,92,A++
1360,Aditya Roy,IoT,31,107,70,117,199,271,78,74,A++
1361,Rahul Roy,Java,36,135,62,115,176,281,77,61,A++
1362,Vikas Kapoor,Web Dev,43,149,74,132,174,214,99,98,A++
1363,Meera Rana,ML,46,146,68,108,177,204,93,69,A++
1364,Ravi Iyer,Java,31,126,61,136,192,216,95,69,A++
1365,Sana Sharma,Web Dev,44,131,78,122,205,211,95,89,A++
1366,Aditya Verma,Robotics,41,140,86,107,189,251,89,82,A++
1367,Ravi Sharma,Data Sci,37,93,93,144,197,299,74,98,A++
1368,Neha Gupta,AI,36,147,85,129,186,285,85,71,A++
1369,Nisha Yadav,IoT,46,133,96,128,197,216,98,69,A++
1370,Rohit Nair,Java,39,127,98,98,167,236,91,93,A++
1371,Sneha Singh,IoT,38,119,88,126,245,262,80,95,A++
1372,Ravi Gupta,AI,34,130,68,117,197,283,72,64,A++
1373,Aditya Singh,Robotics,44,143,79,123,208,260,87,96,A++
1374,Rohit Mehta,IoT,35,132,62,133,222,230,83,78,A++
1375,Priya Nair,Data Sci,34,112,69,133,192,248,73,85,A++
1376,Neha Patel,Java,47,100,100,142,207,291,77,60,A++
1377,Rahul Gupta,AI,38,142,76,108,221,215,100,94,A++
1378,Divya Chawla,Java,44,97,92,144,209,285,99,62,A++
1379,Karan Nair,IoT,33,120,62,99,231,222,94,74,A++
1380,Ravi Roy,ML,34,101,87,105,206,299,94,99,A++
1381,Nisha Iyer,Data Sci,31,117,62,113,234,254,95,68,A++
1382,Ravi Patel,AI,33,133,95,146,242,269,78,62,A++
1383,Rahul Gupta,Data Sci,45,121,68,116,241,211,75,100,A++
1384,Sneha Verma,Data Sci,43,147,95,146,167,226,91,77,A++
1385,Sneha Roy,ML,35,141,93,127,188,200,82,65,A++
1386,Sana Sharma,Java,36,120,83,124,170,277,90,99,A++
1387,Aditya Sharma,AI,50,111,99,129,162,241,83,96,A++
1388,Aryan Patel,IoT,32,139,67,120,248,220,76,78,A++
1389,Nisha Deshmukh,Data Sci,36,98,68,111,232,241,77,98,A++
1390,Rahul Kapoor,Web Dev,31,123,81,138,214,240,75,86,A++
1391,Ravi Sharma,Robotics,50,140,77,120,191,241,86,95,A++
1392,Vikas Chawla,ML,45,126,68,106,190,203,81,91,A++
1393,Karan Nair,AI,40,128,83,128,239,298,88,71,A++
1394,Sana Mehta,ML,50,141,88,95,198,219,92,89,A++
1395,Aditya Deshmukh,Java,33,131,60,141,207,230,96,63,A++
1396,Vikas Mehta,AI,40,96,99,140,221,277,73,60,A++
1397,Rohit Kapoor,Data Sci,48,104,84,132,219,249,81,96,A++
